"Step","[No Pretraining]SafeLTAPPO-JSQDiscreteActor_N2S3_TRAIN_20230726-130159 - rollout_summary/mean_backlog","[No Pretraining]SafeLTAPPO-JSQDiscreteActor_N2S3_TRAIN_20230726-130159 - rollout_summary/mean_backlog__MIN","[No Pretraining]SafeLTAPPO-JSQDiscreteActor_N2S3_TRAIN_20230726-130159 - rollout_summary/mean_backlog__MAX"
"183043","1.970703125","1.970703125","1.970703125"
"183596","1.693359375","1.693359375","1.693359375"
"184149","2.1328125","2.1328125","2.1328125"
"184702","1.890625","1.890625","1.890625"
"185255","1.943359375","1.943359375","1.943359375"
"185808","1.876953125","1.876953125","1.876953125"
"186361","1.91015625","1.91015625","1.91015625"
"186914","1.75","1.75","1.75"
"187467","1.734375","1.734375","1.734375"
"188020","1.853515625","1.853515625","1.853515625"
"188573","1.751953125","1.751953125","1.751953125"
"189126","1.90625","1.90625","1.90625"
"189679","1.806640625","1.806640625","1.806640625"
"190232","1.818359375","1.818359375","1.818359375"
"190785","1.8515625","1.8515625","1.8515625"
"191338","1.662109375","1.662109375","1.662109375"
"191891","1.908203125","1.908203125","1.908203125"
"192444","1.69921875","1.69921875","1.69921875"
"192997","1.9140625","1.9140625","1.9140625"
"193550","1.716796875","1.716796875","1.716796875"
"194103","1.703125","1.703125","1.703125"
"194656","1.671875","1.671875","1.671875"
"195209","1.8515625","1.8515625","1.8515625"
"195762","1.76953125","1.76953125","1.76953125"
"196315","1.884765625","1.884765625","1.884765625"
"196868","1.927734375","1.927734375","1.927734375"
"197421","1.935546875","1.935546875","1.935546875"
"197974","1.771484375","1.771484375","1.771484375"
"198527","1.97265625","1.97265625","1.97265625"
"199080","1.859375","1.859375","1.859375"
"199633","1.763671875","1.763671875","1.763671875"
"200186","1.7421875","1.7421875","1.7421875"
"200739","1.6953125","1.6953125","1.6953125"
"201292","1.64453125","1.64453125","1.64453125"
"201845","1.755859375","1.755859375","1.755859375"
"202398","1.677734375","1.677734375","1.677734375"
"202951","1.6640625","1.6640625","1.6640625"
"203504","1.8515625","1.8515625","1.8515625"
"204057","1.818359375","1.818359375","1.818359375"
"204610","2.16796875","2.16796875","2.16796875"
"205163","2.1328125","2.1328125","2.1328125"
"205716","1.705078125","1.705078125","1.705078125"
"206269","1.732421875","1.732421875","1.732421875"
"206822","1.70703125","1.70703125","1.70703125"
"207375","1.5703125","1.5703125","1.5703125"
"207928","1.75","1.75","1.75"
"208481","1.79296875","1.79296875","1.79296875"
"209034","1.646484375","1.646484375","1.646484375"
"209587","1.705078125","1.705078125","1.705078125"
"210140","1.775390625","1.775390625","1.775390625"
"210693","1.7265625","1.7265625","1.7265625"
"211246","1.796875","1.796875","1.796875"
"211799","1.58984375","1.58984375","1.58984375"
"212352","1.6484375","1.6484375","1.6484375"
"212905","1.56640625","1.56640625","1.56640625"
"213458","1.701171875","1.701171875","1.701171875"
"214011","1.87109375","1.87109375","1.87109375"
"214564","1.77734375","1.77734375","1.77734375"
"215117","1.857421875","1.857421875","1.857421875"
"215670","1.65625","1.65625","1.65625"
"216223","1.916015625","1.916015625","1.916015625"
"216776","1.95703125","1.95703125","1.95703125"
"217329","1.677734375","1.677734375","1.677734375"
"217882","1.6328125","1.6328125","1.6328125"
"218435","1.615234375","1.615234375","1.615234375"
"218988","1.751953125","1.751953125","1.751953125"
"219541","1.671875","1.671875","1.671875"
"220094","1.81640625","1.81640625","1.81640625"
"220647","1.609375","1.609375","1.609375"
"221200","1.609375","1.609375","1.609375"
"221753","1.671875","1.671875","1.671875"
"222306","1.642578125","1.642578125","1.642578125"
"222859","1.73828125","1.73828125","1.73828125"
"223412","1.615234375","1.615234375","1.615234375"
"223965","1.716796875","1.716796875","1.716796875"
"224518","1.875","1.875","1.875"
"225071","1.7109375","1.7109375","1.7109375"
"225624","1.775390625","1.775390625","1.775390625"
"226177","1.705078125","1.705078125","1.705078125"
"226730","1.708984375","1.708984375","1.708984375"
"227283","1.732421875","1.732421875","1.732421875"
"227836","1.7578125","1.7578125","1.7578125"
"228389","1.626953125","1.626953125","1.626953125"
"228942","1.802734375","1.802734375","1.802734375"
"229495","1.671875","1.671875","1.671875"
"230048","1.8125","1.8125","1.8125"
"230601","1.73828125","1.73828125","1.73828125"
"231154","1.802734375","1.802734375","1.802734375"
"231707","1.802734375","1.802734375","1.802734375"
"232260","1.583984375","1.583984375","1.583984375"
"232813","1.732421875","1.732421875","1.732421875"
"233366","1.84375","1.84375","1.84375"
"233919","1.859375","1.859375","1.859375"
"234472","1.62109375","1.62109375","1.62109375"
"235025","1.59765625","1.59765625","1.59765625"
"235578","1.66796875","1.66796875","1.66796875"
"236131","1.791015625","1.791015625","1.791015625"
"236684","1.724609375","1.724609375","1.724609375"
"237237","1.626953125","1.626953125","1.626953125"
"237790","1.73046875","1.73046875","1.73046875"
"238343","1.7734375","1.7734375","1.7734375"
"238896","1.7265625","1.7265625","1.7265625"
"239449","1.810546875","1.810546875","1.810546875"
"240002","1.69140625","1.69140625","1.69140625"
"240555","1.595703125","1.595703125","1.595703125"
"241108","1.83984375","1.83984375","1.83984375"
"241661","1.646484375","1.646484375","1.646484375"
"242214","1.6796875","1.6796875","1.6796875"
"242767","1.58984375","1.58984375","1.58984375"
"243320","1.794921875","1.794921875","1.794921875"
"243873","1.734375","1.734375","1.734375"
"244426","1.681640625","1.681640625","1.681640625"
"244979","1.69921875","1.69921875","1.69921875"
"245532","1.66015625","1.66015625","1.66015625"
"246085","1.759765625","1.759765625","1.759765625"
"246638","1.537109375","1.537109375","1.537109375"
"247191","1.619140625","1.619140625","1.619140625"
"247744","1.7265625","1.7265625","1.7265625"
"248297","1.8203125","1.8203125","1.8203125"
"248850","1.677734375","1.677734375","1.677734375"
"249403","1.701171875","1.701171875","1.701171875"
"249956","1.97265625","1.97265625","1.97265625"
"250509","1.703125","1.703125","1.703125"
"251062","1.60546875","1.60546875","1.60546875"
"251615","1.71875","1.71875","1.71875"
"252168","1.615234375","1.615234375","1.615234375"
"252721","1.671875","1.671875","1.671875"
"253274","1.72265625","1.72265625","1.72265625"
"253827","1.857421875","1.857421875","1.857421875"
"254380","1.599609375","1.599609375","1.599609375"
"254933","1.591796875","1.591796875","1.591796875"
"255486","1.603515625","1.603515625","1.603515625"
"256039","1.736328125","1.736328125","1.736328125"
"256592","1.6328125","1.6328125","1.6328125"
"257145","1.859375","1.859375","1.859375"
"257698","1.599609375","1.599609375","1.599609375"
"258251","1.78125","1.78125","1.78125"
"258804","1.77734375","1.77734375","1.77734375"
"259357","1.744140625","1.744140625","1.744140625"
"259910","1.755859375","1.755859375","1.755859375"
"260463","1.626953125","1.626953125","1.626953125"
"261016","1.890625","1.890625","1.890625"
"261569","1.84765625","1.84765625","1.84765625"
"262122","1.75","1.75","1.75"
"262675","1.705078125","1.705078125","1.705078125"
"263228","1.5390625","1.5390625","1.5390625"
"263781","1.744140625","1.744140625","1.744140625"
"264334","1.728515625","1.728515625","1.728515625"
"264887","1.671875","1.671875","1.671875"
"265440","1.67578125","1.67578125","1.67578125"
"265993","1.650390625","1.650390625","1.650390625"
"266546","1.60546875","1.60546875","1.60546875"
"267099","1.578125","1.578125","1.578125"
"267652","1.84765625","1.84765625","1.84765625"
"268205","1.52734375","1.52734375","1.52734375"
"268758","1.671875","1.671875","1.671875"
"269311","1.6328125","1.6328125","1.6328125"
"269864","1.65625","1.65625","1.65625"
"270417","1.68359375","1.68359375","1.68359375"
"270970","1.765625","1.765625","1.765625"
"271523","1.681640625","1.681640625","1.681640625"
"272076","1.6328125","1.6328125","1.6328125"
"272629","1.630859375","1.630859375","1.630859375"
"273182","1.72265625","1.72265625","1.72265625"
"273735","1.658203125","1.658203125","1.658203125"
"274288","1.681640625","1.681640625","1.681640625"
"274841","1.669921875","1.669921875","1.669921875"
"275394","1.791015625","1.791015625","1.791015625"
"275947","1.6171875","1.6171875","1.6171875"
"276500","1.697265625","1.697265625","1.697265625"
"277053","1.71484375","1.71484375","1.71484375"
"277606","1.693359375","1.693359375","1.693359375"
"278159","1.669921875","1.669921875","1.669921875"
"278712","1.630859375","1.630859375","1.630859375"
"279265","1.84765625","1.84765625","1.84765625"
"279818","1.82421875","1.82421875","1.82421875"
"280371","1.6171875","1.6171875","1.6171875"
"280924","1.75","1.75","1.75"
"281477","1.556640625","1.556640625","1.556640625"
"282030","1.58203125","1.58203125","1.58203125"
"282583","1.67578125","1.67578125","1.67578125"
"283136","1.541015625","1.541015625","1.541015625"
"283689","1.779296875","1.779296875","1.779296875"
"284242","1.677734375","1.677734375","1.677734375"
"284795","1.578125","1.578125","1.578125"
"285348","1.626953125","1.626953125","1.626953125"
"285901","1.607421875","1.607421875","1.607421875"
"286454","1.58984375","1.58984375","1.58984375"
"287007","1.564453125","1.564453125","1.564453125"
"287560","1.556640625","1.556640625","1.556640625"
"288113","1.70703125","1.70703125","1.70703125"
"288666","1.677734375","1.677734375","1.677734375"
"289219","1.732421875","1.732421875","1.732421875"
"289772","1.6875","1.6875","1.6875"
"290325","1.591796875","1.591796875","1.591796875"
"290878","1.57421875","1.57421875","1.57421875"
"291431","1.654296875","1.654296875","1.654296875"
"291984","1.724609375","1.724609375","1.724609375"
"292537","1.69921875","1.69921875","1.69921875"
"293090","1.712890625","1.712890625","1.712890625"
"293643","1.775390625","1.775390625","1.775390625"
"294196","1.79296875","1.79296875","1.79296875"
"294749","1.783203125","1.783203125","1.783203125"
"295302","1.740234375","1.740234375","1.740234375"
"295855","1.6484375","1.6484375","1.6484375"
"296408","1.806640625","1.806640625","1.806640625"
"296961","1.673828125","1.673828125","1.673828125"
"297514","1.642578125","1.642578125","1.642578125"
"298067","1.71484375","1.71484375","1.71484375"
"298620","1.80078125","1.80078125","1.80078125"
"299173","1.759765625","1.759765625","1.759765625"
"299726","1.705078125","1.705078125","1.705078125"
"300279","1.6953125","1.6953125","1.6953125"
"300832","1.822265625","1.822265625","1.822265625"
"301385","1.6796875","1.6796875","1.6796875"
"301938","1.57421875","1.57421875","1.57421875"
"302491","1.6484375","1.6484375","1.6484375"
"303044","1.63671875","1.63671875","1.63671875"
"303597","1.58203125","1.58203125","1.58203125"
"304150","1.720703125","1.720703125","1.720703125"
"304703","1.580078125","1.580078125","1.580078125"
"305256","1.658203125","1.658203125","1.658203125"
"305809","1.845703125","1.845703125","1.845703125"
"306362","1.607421875","1.607421875","1.607421875"
"306915","1.53515625","1.53515625","1.53515625"
"307468","1.732421875","1.732421875","1.732421875"
"308021","1.541015625","1.541015625","1.541015625"
"308574","1.78515625","1.78515625","1.78515625"
"309127","1.6015625","1.6015625","1.6015625"
"309680","1.55859375","1.55859375","1.55859375"
"310233","1.689453125","1.689453125","1.689453125"
"310786","1.685546875","1.685546875","1.685546875"
"311339","1.61328125","1.61328125","1.61328125"
"311892","1.658203125","1.658203125","1.658203125"
"312445","1.69921875","1.69921875","1.69921875"
"312998","1.56640625","1.56640625","1.56640625"
"313551","1.759765625","1.759765625","1.759765625"
"314104","1.583984375","1.583984375","1.583984375"
"314657","1.61328125","1.61328125","1.61328125"
"315210","1.642578125","1.642578125","1.642578125"
"315763","1.7265625","1.7265625","1.7265625"
"316316","1.69921875","1.69921875","1.69921875"
"316869","1.6640625","1.6640625","1.6640625"
"317422","1.6328125","1.6328125","1.6328125"
"317975","1.6328125","1.6328125","1.6328125"
